term,year,term_frequency
TYPEWRITER,2019,122
TYPEWRITER,2018,133
TYPEWRITER,2017,167
TYPEWRITER,2016,86
TYPEWRITER,2015,127
TYPEWRITER,2014,140
TYPEWRITER,2013,201
TYPEWRITER,2012,172
TYPEWRITER,2011,113
TYPEWRITER,2010,284
TYPEWRITER,2009,204
TYPEWRITER,2008,273
TYPEWRITER,2007,304
TYPEWRITER,2006,297
TYPEWRITER,2005,298
TYPEWRITER,2004,426
TYPEWRITER,2003,519
TYPEWRITER,2002,549
TYPEWRITER,2001,521
TYPEWRITER,2000,468
TYPEWRITER,1999,305
TYPEWRITER,1998,391
TYPEWRITER,1997,393
TYPEWRITER,1996,437
TYPEWRITER,1995,553
TYPEWRITER,1994,533
TYPEWRITER,1993,639
TYPEWRITER,1992,826
TYPEWRITER,1991,911
TYPEWRITER,1990,782
TYPEWRITER,1989,1096
TYPEWRITER,1988,1072
TYPEWRITER,1987,1364
TYPEWRITER,1986,1110
TYPEWRITER,1985,1194
TYPEWRITER,1984,1290
TYPEWRITER,1983,1369
TYPEWRITER,1982,1254
TYPEWRITER,1981,1676
TYPEWRITER,1980,1796
TYPEWRITER,1979,1584
TYPEWRITER,1978,1757
TYPEWRITER,1977,1427
TYPEWRITER,1976,969
TYPEWRITER,1975,1252
TYPEWRITER,1974,1325
TYPEWRITER,1973,1677
TYPEWRITER,1972,1526
TYPEWRITER,1971,1323
TYPEWRITER,1970,1483
TYPEWRITER,1969,1356
TYPEWRITER,1968,1782
TYPEWRITER,1967,1438
TYPEWRITER,1966,1553
TYPEWRITER,1965,1503
TYPEWRITER,1964,1070
TYPEWRITER,1963,1178
TYPEWRITER,1962,1024
TYPEWRITER,1961,1146
TYPEWRITER,1960,1016
TYPEWRITER,1959,1270
TYPEWRITER,1958,1095
TYPEWRITER,1957,988
TYPEWRITER,1956,1076
TYPEWRITER,1955,981
TYPEWRITER,1954,1060
TYPEWRITER,1953,977
TYPEWRITER,1952,1011
TYPEWRITER,1951,1009
TYPEWRITER,1950,1384
TYPEWRITER,1949,1398
TYPEWRITER,1948,1431
TYPEWRITER,1947,1315
TYPEWRITER,1946,1274
TYPEWRITER,1945,986
TYPEWRITER,1944,980
TYPEWRITER,1943,802
TYPEWRITER,1942,1014
TYPEWRITER,1941,1279
TYPEWRITER,1940,1185
TYPEWRITER,1939,1202
TYPEWRITER,1938,1461
TYPEWRITER,1937,1169
TYPEWRITER,1936,1054
TYPEWRITER,1935,841
TYPEWRITER,1934,897
TYPEWRITER,1933,778
TYPEWRITER,1932,993
TYPEWRITER,1931,837
TYPEWRITER,1930,1033
TYPEWRITER,1929,828
TYPEWRITER,1928,873
TYPEWRITER,1927,1158
TYPEWRITER,1926,1150
TYPEWRITER,1925,1365
TYPEWRITER,1924,1579
TYPEWRITER,1923,2158
TYPEWRITER,1922,4258
TYPEWRITER,1921,4832
TYPEWRITER,1920,4262
TYPEWRITER,1919,3566
TYPEWRITER,1918,3543
TYPEWRITER,1917,4151
TYPEWRITER,1916,4455
TYPEWRITER,1915,3463
TYPEWRITER,1914,3426
TYPEWRITER,1913,3891
TYPEWRITER,1912,4316
TYPEWRITER,1911,4508
TYPEWRITER,1910,4294
TYPEWRITER,1909,4174
TYPEWRITER,1908,3117
TYPEWRITER,1907,3550
TYPEWRITER,1906,3781
TYPEWRITER,1905,3496
TYPEWRITER,1904,3800
TYPEWRITER,1903,4170
TYPEWRITER,1902,3605
TYPEWRITER,1901,3063
TYPEWRITER,1900,2765
TYPEWRITER,1899,1934
TYPEWRITER,1898,1674
TYPEWRITER,1897,2280
TYPEWRITER,1896,2120
TYPEWRITER,1895,2628
TYPEWRITER,1894,2508
TYPEWRITER,1893,2408
TYPEWRITER,1892,1798
TYPEWRITER,1891,1718
TYPEWRITER,1890,1474
TYPEWRITER,1889,1545
TYPEWRITER,1888,543
TYPEWRITER,1887,326
TYPEWRITER,1886,163
TYPEWRITER,1885,60
TYPEWRITER,1884,102
TYPEWRITER,1883,14
TYPEWRITER,1882,39
TYPEWRITER,1881,5
TYPEWRITER,1880,1
TYPEWRITER,1879,4
TYPEWRITER,1878,4
TYPEWRITER,1877,78
TYPEWRITER,1876,2
TYPEWRITER,1874,1
TYPEWRITER,1873,7
TYPEWRITER,1872,11
TYPEWRITER,1871,13
TYPEWRITER,1870,1
TYPEWRITER,1868,1
TYPEWRITER,1866,2
TYPEWRITER,1859,26
TYPEWRITER,1858,13
TYPEWRITER,1850,11
TYPEWRITER,1848,2
TYPEWRITER,1845,1
TYPEWRITER,1844,2
TYPEWRITER,1840,2
TYPEWRITER,1834,5
TYPEWRITER,1832,35
TYPEWRITER,1826,2
TYPEWRITER,1819,3
TYPEWRITER,1811,2
TYPEWRITER,1808,8
TYPEWRITER,1800,6
